germe,alpha,J,temps,n,q,A,Delta_S_interne_sur_kB
alpha_-0.4_J_0.1,-0.4,0.1,4.8,0.30855355701244397,0.006598716483623896,0.29144644298755595,8.708611846249944e-05
alpha_-0.4_J_0.1,-0.4,0.1,4.9,0.31234445057430027,0.006410366591057059,0.2876555494256997,8.2185599663481e-05
alpha_-0.4_J_0.1,-0.4,0.1,5.0,0.31606027941427883,0.00622973204727993,0.28393972058572114,7.761912276181317e-05
alpha_-0.4_J_0.1,-0.4,0.1,5.1000000000000005,0.3197025299134609,0.006056416545515895,0.28029747008653916,7.336036274559737e-05
alpha_-0.4_J_0.1,-0.4,0.1,5.2,0.3232726590206099,0.005890047622892773,0.2767273409793901,6.93853219998896e-05
alpha_-0.4_J_0.1,-0.4,0.1,5.3,0.32677209483497127,0.005730275034139908,0.2732279051650287,6.567210393377424e-05
alpha_-0.4_J_0.1,-0.4,0.1,5.4,0.33020223717753044,0.00557676924847808,0.2697977628224696,6.220071050154153e-05
alpha_-0.4_J_0.1,-0.4,0.1,5.5,0.33356445815096025,0.005429220059489704,0.2664355418490397,5.895286090873077e-05
alpha_-0.4_J_0.1,-0.4,0.1,5.6000000000000005,0.33686010268848027,0.005287335298673246,0.26313989731151965,5.59118291211922e-05
alpha_-0.4_J_0.1,-0.4,0.1,5.7,0.3400904890918481,0.005150839644213963,0.25990951090815184,5.3062298080812455e-05
alpha_-0.4_J_0.1,-0.4,0.1,5.8,0.3432569095586973,0.005019473517252047,0.2567430904413027,5.0390228780789266e-05
alpha_-0.4_J_0.1,-0.4,0.1,5.9,0.3463606306994344,0.004892992058606998,0.2536393693005655,4.78827425711823e-05
alpha_-0.4_J_0.1,-0.4,0.1,6.0,0.34940289404389896,0.00477116417953102,0.2505971059561011,4.552801525607982e-05
alpha_-0.4_J_0.1,-0.4,0.1,6.1000000000000005,0.3523849165379929,0.0046537716806204985,0.2476150834620071,4.331518171069068e-05
alpha_-0.4_J_0.1,-0.4,0.1,6.2,0.3553078910304747,0.0045406084335193565,0.2446921089695252,4.1234249893094206e-05
alpha_-0.4_J_0.1,-0.4,0.1,6.3,0.35817298675011483,0.004431479620506034,0.2418270132498851,3.927602325392061e-05
alpha_-0.4_J_0.1,-0.4,0.1,6.4,0.36098134977340296,0.004326201027471883,0.23901865022659707,3.7432030660197556e-05
alpha_-0.4_J_0.1,-0.4,0.1,6.5,0.36373410348299373,0.0042245983861768505,0.23626589651700625,3.5694463048976096e-05
alpha_-0.4_J_0.1,-0.4,0.1,6.6000000000000005,0.36643234901707483,0.0041265067620122374,0.2335676509829251,3.405611611386544e-05
alpha_-0.4_J_0.1,-0.4,0.1,6.7,0.369077165709837,0.004031769983813293,0.23092283429016291,3.2510338404755687e-05
alpha_-0.4_J_0.1,-0.4,0.1,6.8,0.3716696115232221,0.003940240112549433,0.2283303884767779,3.1050984289087135e-05
alpha_-0.4_J_0.1,-0.4,0.1,6.9,0.37421072347012174,0.0038517769459796842,0.22578927652987824,2.9672371283161167e-05
alpha_-0.4_J_0.1,-0.4,0.1,7.0,0.37670151802919677,0.00376624755659777,0.22329848197080315,2.8369241315157346e-05
alpha_-0.4_J_0.1,-0.4,0.1,7.1000000000000005,0.3791429915514818,0.0036835258604074566,0.2208570084485182,2.713672552858099e-05
alpha_-0.4_J_0.1,-0.4,0.1,7.2,0.38153612065893916,0.0036034922142661268,0.21846387934106082,2.5970312276553188e-05
alpha_-0.4_J_0.1,-0.4,0.1,7.3,0.3838818626351206,0.0035260330397148486,0.2161181373648794,2.4865817994321472e-05
alpha_-0.4_J_0.1,-0.4,0.1,7.4,0.38618115580809365,0.0034510404713780606,0.21381884419190633,2.3819360670178612e-05
alpha_-0.4_J_0.1,-0.4,0.1,7.5,0.3884349199257851,0.003378412028166778,0.21156508007421493,2.2827335664123924e-05
alpha_-0.4_J_0.1,-0.4,0.1,7.6000000000000005,0.39064405652389267,0.003308050305657238,0.2093559434761073,2.1886393649517893e-05
alpha_-0.4_J_0.1,-0.4,0.1,7.7,0.392809449286511,0.003239862688143313,0.2071905507134889,2.099342047604643e-05
alpha_-0.4_J_0.1,-0.4,0.1,7.8,0.39493196439961764,0.0031737610789768127,0.20506803560038234,2.0145518772856125e-05
alpha_-0.4_J_0.1,-0.4,0.1,7.9,0.39701245089755827,0.0031096616479160503,0.20298754910244166,1.9339991129039933e-05
alpha_-0.4_J_0.1,-0.4,0.1,8.0,0.3990517410026723,0.0030474845943004275,0.2009482589973276,1.857432470499688e-05
alpha_-0.4_J_0.1,-0.4,0.1,8.1,0.40105065045819266,0.002987153924958268,0.19894934954180732,1.7846177142787172e-05
alpha_-0.4_J_0.1,-0.4,0.1,8.2,0.40300997885455403,0.0029285972458372427,0.19699002114544595,1.7153363656650965e-05
alpha_-0.4_J_0.1,-0.4,0.1,8.3,0.40493050994923974,0.002871745566422239,0.19506949005076024,1.6493845196531574e-05
alpha_-0.4_J_0.1,-0.4,0.1,8.4,0.406813011980295,0.0028165331160749157,0.1931869880197049,1.586571758789335e-05
alpha_-0.4_J_0.1,-0.4,0.1,8.5,0.4086582379736327,0.002762897171493044,0.1913417620263672,1.5267201560488526e-05
alpha_-0.4_J_0.1,-0.4,0.1,8.6,0.4104669260442534,0.0027107778945464948,0.1895330739557466,1.4696633587123855e-05
alpha_-0.4_J_0.1,-0.4,0.1,8.700000000000001,0.4122397996915016,0.002660118179800872,0.18776020030849838,1.415245746101421e-05
alpha_-0.4_J_0.1,-0.4,0.1,8.8,0.41397756808847475,0.0026108635110896447,0.18602243191152523,1.3633216547078695e-05
alpha_-0.4_J_0.1,-0.4,0.1,8.9,0.41568092636570225,0.002562961826541612,0.18431907363429778,1.3137546648619032e-05
alpha_-0.4_J_0.1,-0.4,0.1,9.0,0.4173505558892067,0.0025163633915129403,0.1826494441107932,1.2664169436293015e-05
alpha_-0.4_J_0.1,-0.4,0.1,9.1,0.41898712453305964,0.0024710206789121357,0.18101287546694034,1.2211886391222784e-05
alpha_-0.4_J_0.1,-0.4,0.1,9.200000000000001,0.4205912869465397,0.0024268882564424535,0.1794087130534603,1.1779573218516583e-05
alpha_-0.4_J_0.1,-0.4,0.1,9.3,0.42216368481600136,0.0023839226803196154,0.17783631518399867,1.1366174691484518e-05
alpha_-0.4_J_0.1,-0.4,0.1,9.4,0.4237049471215581,0.0023420823950535403,0.17629505287844183,1.0970699890439456e-05
alpha_-0.4_J_0.1,-0.4,0.1,9.5,0.4252156903886825,0.0023013276389113302,0.1747843096113174,1.0592217803234396e-05
alpha_-0.4_J_0.1,-0.4,0.1,9.6,0.4266965189348249,0.0022616203547051144,0.17330348106517512,1.0229853257632975e-05
alpha_-0.4_J_0.1,-0.4,0.1,9.700000000000001,0.4281480251111486,0.00222292410557279,0.1718519748888514,9.882783158273176e-06
alpha_-0.4_J_0.1,-0.4,0.1,9.8,0.4295707895394775,0.0021852039954422947,0.1704292104605224,9.550233003393936e-06
alpha_-0.4_J_0.1,-0.4,0.1,9.9,0.4309653813445536,0.0021484265938909886,0.16903461865544644,9.23147365867607e-06
alpha_-0.4_J_0.1,-0.4,0.1,10.0,0.43233235838169365,0.00211255986513114,0.16766764161830638,8.9258183675258e-06
alpha_-0.4_J_0.1,-0.4,0.1,10.1,0.43367226745993914,0.002077573100870509,0.16632773254006084,8.632619978921405e-06
alpha_-0.4_J_0.1,-0.4,0.1,10.200000000000001,0.4349856445607871,0.002043436856813705,0.16501435543921283,8.351268375569349e-06
alpha_-0.4_J_0.1,-0.4,0.1,10.3,0.43627301505258964,0.002010122892585498,0.16372698494741034,8.08118808659258e-06
alpha_-0.4_J_0.1,-0.4,0.1,10.4,0.43753489390070877,0.0019776041148716556,0.1624651060992912,7.82183607031461e-06
alpha_-0.4_J_0.1,-0.4,0.1,10.5,0.43877178587350907,0.001945854523586211,0.1612282141264909,7.57269965392184e-06
alpha_-0.4_J_0.1,-0.4,0.1,10.6,0.4399841857442716,0.0019148491608865325,0.1600158142557283,7.333294617895715e-06
alpha_-0.4_J_0.1,-0.4,0.1,10.700000000000001,0.4411725784891104,0.0018845640628690462,0.15882742151088958,7.1031634141149725e-06
alpha_-0.4_J_0.1,-0.4,0.1,10.8,0.44233743948096876,0.0018549762137892534,0.15766256051903127,6.881873507447828e-06
alpha_-0.4_J_0.1,-0.4,0.1,10.9,0.44347923467977507,0.001826063502659646,0.15652076532022485,6.66901583149123e-06
alpha_-0.4_J_0.1,-0.4,0.1,11.0,0.44459842081883305,0.001797804682088417,0.15540157918116693,6.464203349878068e-06
alpha_-0.4_J_0.1,-0.4,0.1,11.1,0.445695445587521,0.0017701793292305393,0.15430455441247892,6.267069715270164e-06
alpha_-0.4_J_0.1,-0.4,0.1,11.200000000000001,0.4467707478103736,0.0017431678087308359,0.15322925218962635,6.077268018790928e-06
alpha_-0.4_J_0.1,-0.4,0.1,11.3,0.44782475762261753,0.001716751237546185,0.15217524237738245,5.894469623232716e-06
alpha_-0.4_J_0.1,-0.4,0.1,11.4,0.4488578966422313,0.0016909114515410181,0.15114210335776868,5.718363073905106e-06
alpha_-0.4_J_0.1,-0.4,0.1,11.5,0.44987057813859815,0.0016656309737567918,0.15012942186140188,5.548653081475996e-06
alpha_-0.4_J_0.1,-0.4,0.1,11.6,0.45086320719781925,0.0016408929842622265,0.14913679280218073,5.385059571601991e-06
alpha_-0.4_J_0.1,-0.4,0.1,11.700000000000001,0.4518361808847535,0.001616681291496789,0.14816381911524645,5.227316796551451e-06
alpha_-0.4_J_0.1,-0.4,0.1,11.8,0.45278988840184886,0.0015929803050252092,0.14721011159815112,5.075172504396417e-06
alpha_-0.4_J_0.1,-0.4,0.1,11.9,0.4537247112448284,0.0015697750096257978,0.1462752887551716,4.928387161691347e-06
alpha_-0.4_J_0.1,-0.4,0.1,12.0,0.45464102335529377,0.0015470509406399575,0.1453589766447062,4.7867332258699545e-06
alpha_-0.4_J_0.1,-0.4,0.1,12.1,0.45553919127030684,0.001524794160514626,0.14446080872969314,4.649994463879006e-06
alpha_-0.4_J_0.1,-0.4,0.1,12.200000000000001,0.45641957426900936,0.001502991236473443,0.1435804257309906,4.5179653138319384e-06
alpha_-0.4_J_0.1,-0.4,0.1,12.3,0.4572825245163394,0.0014816292192562296,0.14271747548366054,4.3904502867076495e-06
alpha_-0.4_J_0.1,-0.4,0.1,12.4,0.45812838720390203,0.001460695622869915,0.14187161279609795,4.267263405342659e-06
