modele,scenario,temps,variable_1,valeur_1,variable_2,valeur_2,variable_3,valeur_3
germes_reference,alpha_-0.4_J_0.1,0.51,q_configuration,0.037249453608316926,n,0.04848522416556159,,
germes_reference,alpha_-0.4_J_0.1,0.52,q_configuration,0.03704423881351311,n,0.04938735128939761,,
germes_reference,alpha_-0.4_J_0.1,0.53,q_configuration,0.03684049218427199,n,0.050287675962037974,,
germes_reference,alpha_-0.4_J_0.1,0.54,q_configuration,0.03663820119191653,n,0.051186201784782566,,
germes_reference,alpha_-0.4_J_0.1,0.55,q_configuration,0.03643735343083158,n,0.05208293235173588,,
germes_reference,alpha_-0.4_J_0.1,0.56,q_configuration,0.0362379366170954,n,0.05297787124982138,,
germes_reference,alpha_-0.4_J_0.1,0.5700000000000001,q_configuration,0.0360399385871285,n,0.05387102205879585,,
germes_reference,alpha_-0.4_J_0.1,0.58,q_configuration,0.03584334729635918,n,0.054762388351263694,,
germes_reference,alpha_-0.4_J_0.1,0.59,q_configuration,0.03564815081790586,n,0.055651973692691314,,
germes_reference,alpha_-0.4_J_0.1,0.6,q_configuration,0.03545433734127577,n,0.05653978164142124,,
germes_reference,alpha_-0.4_J_0.1,0.61,q_configuration,0.03526189517107981,n,0.05742581574868645,,
germes_reference,alpha_-0.4_J_0.1,0.62,q_configuration,0.035070812725763435,n,0.05831007955862456,,
germes_reference,alpha_-0.4_J_0.1,0.63,q_configuration,0.03488107853635318,n,0.059192576608291976,,
germes_reference,alpha_-0.4_J_0.1,0.64,q_configuration,0.03469268124521879,n,0.060073310427678085,,
germes_reference,alpha_-0.4_J_0.1,0.65,q_configuration,0.03450560960485062,n,0.06095228453971934,,
germes_reference,alpha_-0.4_J_0.1,0.66,q_configuration,0.03431985247665207,n,0.06182950246031335,,
germes_reference,alpha_-0.4_J_0.1,0.67,q_configuration,0.03413539882974698,n,0.06270496769833298,,
germes_reference,alpha_-0.4_J_0.1,0.68,q_configuration,0.03395223773980165,n,0.06357868375564034,,
germes_reference,alpha_-0.4_J_0.1,0.6900000000000001,q_configuration,0.03377035838786133,n,0.06445065412710083,,
germes_reference,alpha_-0.4_J_0.1,0.7000000000000001,q_configuration,0.033589750059200986,n,0.0653208823005971,,
germes_reference,alpha_-0.4_J_0.1,0.71,q_configuration,0.033410402142190126,n,0.06618937175704298,,
germes_reference,alpha_-0.4_J_0.1,0.72,q_configuration,0.03323230412717153,n,0.06705612597039749,,
germes_reference,alpha_-0.4_J_0.1,0.73,q_configuration,0.03305544560535362,n,0.06792114840767861,,
germes_reference,alpha_-0.4_J_0.1,0.74,q_configuration,0.03287981626771637,n,0.06878444252897728,,
germes_reference,alpha_-0.4_J_0.1,0.75,q_configuration,0.032705405903930534,n,0.06964601178747111,,
germes_reference,alpha_-0.4_J_0.1,0.76,q_configuration,0.032532204401289976,n,0.07050585962943827,,
germes_reference,alpha_-0.4_J_0.1,0.77,q_configuration,0.03236020174365695,n,0.0713639894942713,,
germes_reference,alpha_-0.4_J_0.1,0.78,q_configuration,0.03218938801042019,n,0.07222040481449078,,
germes_reference,alpha_-0.4_J_0.1,0.79,q_configuration,0.03201975337546561,n,0.07307510901575914,,
germes_reference,alpha_-0.4_J_0.1,0.8,q_configuration,0.03185128810615936,n,0.07392810551689434,,
germes_reference,alpha_-0.4_J_0.1,0.81,q_configuration,0.031683982562343255,n,0.07477939772988351,,
